,plant_type,plant_name,latitude,longitude,capacity
260,solar,Anhui Yingdong Xinwujiangzhen Distributed solar farm,32.9284,116.0027,20
261,solar,Anhui Yingquan District Liuxingzhen Jinming solar farm,32.9082,115.8141,20
262,solar,Anhui Yingquan District Wumingzhen Fuyang Jinming solar farm,33.0342,115.8767,20
263,solar,Anhui Yingshang County Jiaoganghu Photovoltaic solar farm,32.0,117.0,20
264,solar,Anhui Yingshang County Jiaoganghu Photovoltaic solar farm,32.5815,116.5932,60
265,solar,Anhui Yingshang Huangqiaozhen solar farm,32.7003,116.3285,20
266,solar,Anhui Yongqiao District Daying Photovoltaic solar farm,32.0,117.0,30
267,solar,Anhui Yongqiao District Qixian Shengbu Photovoltaic solar farm,32.0,117.0,20
268,solar,Anhui Yongqiao Huigu agricultural Photovoltaic solar farm,32.0,117.0,20
269,solar,Anhui Yongqiao Qixian Mined Out Area solar farm,32.0,117.0,50
270,solar,Anhui Yu'an Jiangjiadianzhen solar farm,31.82,116.287,20
271,solar,Anhuii Jinzhai Zaochong Photovoltaic solar farm,32.0,117.0,75
272,solar,Anjwa-Do solar farm,34.737,126.1238,96
273,solar,Annaka Solar Power Plant,36.328,138.8872,63
274,solar,Antelope Big Sky Ranch solar farm,34.6948,-118.288,20
275,solar,Antelope Dsr solar farm,34.6556,-118.281,50
276,solar,Antelope Dsr solar farm,34.7369,-118.304,20
277,solar,Antelope Dsr solar farm,34.745,-118.309,105
278,solar,Anwei Wuwei Sutang Reservoir fisheries solar farm,32.0,117.0,20
279,solar,Aomori Solar Power Plant,40.8417,140.6688,30
280,solar,Ap North Lake I solar farm,33.74,-117.011,20
281,solar,Apache Solar 1,32.0681,-109.89,20
282,solar,Aparse Sonora solar farm,31.3098,-109.544,24
283,solar,Apaxco solar farm,19.9117,-99.0742,190
284,solar,Apex Solar Power Project,36.39,-114.97,20
285,solar,Apicio solar farm,38.1663,-6.66,50
286,solar,Apodi solar farm,-5.0521,-37.7901,33
287,solar,Apodi solar farm,-5.0445,-37.7929,33
288,solar,Apodi solar farm,-5.044,-37.7972,33
289,solar,Apodi solar farm,-5.0413,-37.7865,33
290,solar,Apple Data Center solar farm,35.5881,-81.252,21
291,solar,Apple Data Center solar farm,35.7389,-81.2078,20
292,solar,Aragorn Solar Project,31.72,-104.442,180
293,solar,Araxá solar farm,-19.774,-47.0491,45
294,solar,Araxá solar farm,-19.7573,-47.0408,45
295,solar,Arayat-Mexico solar farm,15.1655,120.6822,72
296,solar,Arbor Hill Solar,41.4669,-94.2627,25
297,solar,Arcelormittal solar farm,51.1805,3.8185,50
298,solar,Arlington (Silicon Ranch) solar farm,31.4029,-84.8368,20
299,solar,Arlington (Silicon Ranch) solar farm,31.4155,-84.8307,102
300,solar,Arlington Energy Center (NextEra) solar farm,33.6909,-114.775,364
301,solar,Arlington Valley Solar Energy II,33.305,-112.834,54
302,solar,Arnedo solar farm,42.2748,-2.0446,34
303,solar,Arnprior solar farm,45.41,-76.271,23
304,solar,Arushi solar farm,14.8221,78.2817,39
305,solar,Ashalim 1 solar farm,30.9782,34.7475,35
306,solar,Ashia solar farm,35.0073,139.0119,20
307,solar,Ashikita Solar Power Stations,32.2099,130.4762,22
308,solar,Assam 1 solar farm,26.5124,93.9716,97
309,solar,Assembly Solar Project,43.0227,-83.9453,50
310,solar,Assembly Solar Project,43.0227,-83.9427,79
311,solar,Assembly Solar Project,43.0437,-83.96,110
312,solar,Assemini solar farm,43.7045,10.6176,26
313,solar,Assuruá Ps Solar Plant,-10.9902,-42.3607,37
314,solar,Assú Solar Farm (Brazil),-5.546,-37.0264,37
315,solar,Aston Clinton Solar Park,51.8106,-0.7338,24
316,solar,Aston House solar farm,52.8817,-1.743,20
317,solar,Astoria solar farm,34.8366,-118.48,75
318,solar,Astoria solar farm,34.8442,-118.458,100
319,solar,Atacama Solar Project,-20.4909,-69.3289,170
320,solar,Athos Solar Project,33.7513,-115.355,250
321,solar,Athos solar farm,33.7513,-115.355,200
322,solar,Atlántico Solar Project,10.6409,-75.0016,240
323,solar,Attampahad solar farm,11.6644,92.7402,20
324,solar,Atwell Island solar farm,35.815,-119.46,20
325,solar,Atwell Island solar farm,35.895,-119.511,20
326,solar,Augusto solar farm,38.8827,-6.8738,50
327,solar,Aulander Holloman Solar,36.2912,-77.0666,80
328,solar,Aura Solar,24.0624,-110.326,74
329,solar,Aura Solar Project,13.2368,-87.2534,61
330,solar,Auraiya I solar farm,26.6557,79.515,20
331,solar,Av Solar Ranch One solar farm,34.7803,-118.424,253
332,solar,Avalon (Coronal Group) solar farm,32.0014,-110.961,29
333,solar,Avant Energías Renovables solar farm,27.6557,-105.164,36
334,solar,Avon Grange solar farm,51.5397,-2.5228,21
335,solar,Avra Valley Solar,32.3717,-111.283,25
336,solar,Awaji Kibune Solar Power Plant,34.5868,134.9789,35
337,solar,Axium Modesto Solar,37.7342,-120.996,25
338,solar,Azabache Photovoltaic Solar Park,-22.4559,-68.9275,61
339,solar,Azaila solar farm,41.3456,-0.569,50
340,solar,Azure Sky Solar,32.999,-99.5985,225
341,solar,BECO Jabad-Gelle Solar PV,2.1179,45.2383,10
342,solar,Babaleshwar solar farm,16.6671,75.5798,20
343,solar,Babcock Preserve solar farm,26.8579,-81.7596,74
344,solar,Babcock Solar Energy Center Hybrid,26.8616,-81.751,74
345,solar,Badger Hollow solar farm,42.9456,-90.3494,150
346,solar,Badisid solar farm,25.1862,75.8589,20
347,solar,Bagewadi solar farm,14.5204,75.7224,20
348,solar,Bahalwalnager (Asia Petroleum) solar farm,33.0282,72.0575,30
349,solar,Baikonur solar farm,45.6322,63.3209,50
350,solar,Bailhongal solar farm,15.8164,74.8569,20
351,solar,Baja California Sur Grupotec PV solar farm,24.03,-110.352,30
352,solar,Bakeoven Solar,45.1318,-120.881,200
353,solar,Bakersfield Solar,35.1261,-119.243,20
354,solar,Balangir solar farm,20.701,83.483,40
355,solar,Balm Solar,27.7697,-82.234,74
356,solar,Balran solar farm,29.8413,75.8485,25
357,solar,Banavikal solar farm,12.9753,77.7258,90
358,solar,Bang Pa-In solar farm,14.2394,100.5845,38
359,solar,Bangweulu solar farm,-15.5138,28.4329,54
360,solar,Bann Road solar farm,54.9985,-6.4404,25
361,solar,Bannerton solar farm,-34.6899,142.7452,50
362,solar,Bap solar farm,27.3748,72.3532,20
363,solar,Baramati solar farm,18.218,74.6016,52
364,solar,Barcaldine Remote Community solar farm,-23.5477,145.3189,25
365,solar,Barcience solar farm,39.938,-4.0315,50
366,solar,Barefoot Bay Solar Energy Center,27.8658,-80.5211,74
367,solar,Bareta solar farm,29.8616,75.6915,25
368,solar,Bargas solar farm,39.9178,-4.1168,50
369,solar,Barilla Solar,30.96,-103.35,22
370,solar,Barmer solar farm,25.8254,72.2459,56
371,solar,Barren Ridge solar farm,35.2047,-118.069,60
372,solar,Barrica solar farm,40.9238,-1.3044,75
373,solar,Barth Solarpark,54.3443,12.7168,32
374,solar,Basavana Bagewadi solar farm,16.8331,75.6975,40
375,solar,Basseterre Valley solar farm,17.321,-62.7033,38
376,solar,Bataan Solar Power Project,14.8302,120.5086,32
377,solar,Battambang solar farm,13.2601,103.0876,60
378,solar,Battle Mountain Solar Project,40.7184,-117.061,101
379,solar,Bavet solar farm,11.0691,106.1436,20
380,solar,Baxley solar farm,31.8777,-82.3339,25
381,solar,Bay Tree solar farm,34.7041,-78.3934,70
382,solar,Bayasol Photovoltaic solar farm,18.3272,-70.4414,50
383,solar,Baynouna Solar Plant,31.7965,36.1269,248
384,solar,Bayshore Solar,34.6678,-118.298,20
385,solar,Bayshore Solar,34.6783,-118.303,20
386,solar,Bayshore Solar,34.6813,-118.314,20
387,solar,Beacon Solar,35.2531,-118.015,56
388,solar,Beacon Solar,35.2536,-118.027,50
389,solar,Beacon Solar,35.2694,-118.014,56
390,solar,Beacon Solar Plant,35.2489,-118.034,38
391,solar,Beacon Solar Plant,35.2658,-117.999,47
392,solar,Bear Creek Solar,43.3663,-90.4557,50
393,solar,Bear solar farm,48.6975,44.5136,25
394,solar,Beed solar farm,20.024,75.1623,80
